iter	Passed	Remaining
0	0	89
1	1	88
2	2	83
3	3	75
4	3	71
5	4	69
6	5	68
7	6	70
8	6	70
9	7	69
10	8	68
11	9	66
12	9	64
13	10	62
14	10	60
15	11	59
16	11	58
17	12	57
18	13	56
19	13	54
20	14	53
21	14	52
22	15	51
23	15	50
24	16	50
25	17	49
26	17	48
27	18	47
28	19	46
29	19	46
30	20	45
31	20	44
32	21	43
33	22	42
34	22	41
35	23	41
36	23	40
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	20
67	43	20
68	43	19
69	44	19
70	44	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
